,y,a
232,2013-06-17,128119
233,2013-06-18,128404
234,2013-06-19,128683
235,2013-06-20,128936
236,2013-06-21,129104
237,2013-06-22,129293
238,2013-06-23,129522
239,2013-06-24,129723
240,2013-06-25,129907
241,2013-06-26,130180
242,2013-06-27,130423
243,2013-06-28,130592
244,2013-06-29,130743
245,2013-06-30,131088
246,2013-07-01,131364
247,2013-07-02,131585
248,2013-07-03,131799
249,2013-07-04,131944
250,2013-07-05,132084
251,2013-07-06,132222
252,2013-07-07,132500
253,2013-07-08,132749
254,2013-07-09,133024
255,2013-07-10,133207
256,2013-07-11,133405
257,2013-07-12,133560
258,2013-07-13,133716
259,2013-07-14,133962
260,2013-07-15,134206
261,2013-07-16,134423
262,2013-07-17,134724
263,2013-07-18,135048
264,2013-07-19,135246
265,2013-07-20,135469
266,2013-07-21,135710
267,2013-07-22,135926
268,2013-07-23,136174
269,2013-07-24,136418
270,2013-07-25,136627
271,2013-07-26,136829
272,2013-07-27,137002
273,2013-07-28,137277
274,2013-07-29,137511
275,2013-07-30,137738
276,2013-07-31,137953
277,2013-08-01,138172
278,2013-08-02,138353
279,2013-08-03,138555
280,2013-08-04,138799
281,2013-08-05,139021
282,2013-08-06,139268
283,2013-08-07,139506
284,2013-08-08,139689
285,2013-08-09,139872
286,2013-08-10,140056
287,2013-08-11,140307
288,2013-08-12,140489
289,2013-08-13,140715
290,2013-08-14,140942
291,2013-08-15,141152
292,2013-08-16,141857
293,2013-08-17,142286
294,2013-08-18,142621
295,2013-08-19,142909
296,2013-08-20,143238
297,2013-08-21,143513
298,2013-08-22,143760
299,2013-08-23,143945
300,2013-08-24,144169
301,2013-08-25,144397
302,2013-08-26,144649
303,2013-08-27,144926
304,2013-08-28,145188
305,2013-08-29,145440
306,2013-08-30,145660
307,2013-08-31,145895
308,2013-09-01,146339
309,2013-09-02,147185
310,2013-09-03,147758
311,2013-09-04,148012
312,2013-09-05,148168
313,2013-09-06,148410
314,2013-09-07,148562
315,2013-09-08,148719
316,2013-09-09,149158
317,2013-09-10,149583
318,2013-09-11,149879
319,2013-09-12,150091
320,2013-09-13,150258
321,2013-09-14,150474
322,2013-09-15,150704
323,2013-09-16,150913
324,2013-09-17,151149
325,2013-09-18,151409
326,2013-09-19,151570
327,2013-09-20,151703
328,2013-09-21,151827
329,2013-09-22,152074
330,2013-09-23,152244
331,2013-09-24,152373
332,2013-09-25,152552
333,2013-09-26,152698
334,2013-09-27,152812
335,2013-09-28,152952
336,2013-09-29,153118
337,2013-09-30,153309
338,2013-10-01,153510
339,2013-10-02,153722
340,2013-10-03,153900
341,2013-10-04,154036
342,2013-10-05,154176
343,2013-10-06,154384
344,2013-10-07,154548
345,2013-10-08,154692
346,2013-10-09,154834
347,2013-10-10,154981
348,2013-10-11,155157
349,2013-10-12,155345
350,2013-10-13,155492
351,2013-10-14,155639
352,2013-10-15,155894
353,2013-10-16,156112
354,2013-10-17,156264
355,2013-10-18,156434
356,2013-10-19,156686
357,2013-10-20,156909
358,2013-10-21,157152
359,2013-10-22,157384
360,2013-10-23,157722
361,2013-10-24,157966
362,2013-10-25,158117
363,2013-10-26,158374
364,2013-10-27,158635
365,2013-10-28,158843
366,2013-10-29,159012
367,2013-10-30,159195
368,2013-10-31,159331
369,2013-11-01,159445
370,2013-11-02,159659
371,2013-11-03,159878
372,2013-11-04,160056
373,2013-11-05,160256
374,2013-11-06,160562
375,2013-11-07,160768
376,2013-11-08,160892
377,2013-11-09,161071
378,2013-11-10,161296
379,2013-11-11,161483
380,2013-11-12,161647
381,2013-11-13,161901
382,2013-11-14,162124
383,2013-11-15,162296
384,2013-11-16,162423
385,2013-11-17,162570
386,2013-11-18,162722
387,2013-11-19,163075
388,2013-11-20,163324
389,2013-11-21,163456
390,2013-11-22,163573
391,2013-11-23,163727
392,2013-11-24,163932
393,2013-11-25,164133
394,2013-11-26,164338
395,2013-11-27,164513
396,2013-11-28,164635
397,2013-11-29,164757
398,2013-11-30,164990
399,2013-12-01,165255
400,2013-12-02,165429
401,2013-12-03,165608
402,2013-12-04,165876
403,2013-12-05,166084
404,2013-12-06,166629
405,2013-12-07,166971
406,2013-12-08,167249
407,2013-12-09,167439
408,2013-12-10,167676
409,2013-12-11,167900
410,2013-12-12,168085
411,2013-12-13,168213
412,2013-12-14,168409
413,2013-12-15,168679
414,2013-12-16,168951
415,2013-12-17,169156
416,2013-12-18,169325
417,2013-12-19,169479
418,2013-12-20,169634
419,2013-12-21,169855
420,2013-12-22,170060
421,2013-12-23,170261
422,2013-12-24,170431
423,2013-12-25,170866
424,2013-12-26,171231
425,2013-12-27,171479
426,2013-12-28,171678
427,2013-12-29,171945
428,2013-12-30,172132
429,2013-12-31,172293
430,2014-01-01,172578
431,2014-01-02,172837
432,2014-01-03,173070
433,2014-01-04,173329
434,2014-01-05,173658
435,2014-01-06,173915
436,2014-01-07,174149
437,2014-01-08,174402
438,2014-01-09,174621
439,2014-01-10,174848
440,2014-01-11,175131
441,2014-01-12,175440
442,2014-01-13,175786
443,2014-01-14,175984
444,2014-01-15,176180
445,2014-01-16,176361
446,2014-01-17,176507
447,2014-01-18,176729
448,2014-01-19,176996
449,2014-01-20,177236
450,2014-01-21,177458
451,2014-01-22,177736
452,2014-01-23,178008
453,2014-01-24,178200
454,2014-01-25,178395
455,2014-01-26,178633
456,2014-01-27,178838
457,2014-01-28,179083
458,2014-01-29,179338
459,2014-01-30,179584
460,2014-01-31,179744
461,2014-02-01,179953
462,2014-02-02,180135
463,2014-02-03,180409
464,2014-02-04,180685
465,2014-02-05,180941
466,2014-02-06,181114
