,y,a
290,2013-08-15,210
291,2013-08-16,705
292,2013-08-17,429
293,2013-08-18,335
294,2013-08-19,288
295,2013-08-20,329
296,2013-08-21,275
297,2013-08-22,247
298,2013-08-23,185
299,2013-08-24,224
300,2013-08-25,228
301,2013-08-26,252
302,2013-08-27,277
303,2013-08-28,262
304,2013-08-29,252
305,2013-08-30,220
306,2013-08-31,235
307,2013-09-01,444
308,2013-09-02,846
309,2013-09-03,573
310,2013-09-04,254
311,2013-09-05,156
312,2013-09-06,242
313,2013-09-07,152
314,2013-09-08,157
315,2013-09-09,439
316,2013-09-10,425
317,2013-09-11,296
318,2013-09-12,212
319,2013-09-13,167
320,2013-09-14,216
321,2013-09-15,230
322,2013-09-16,209
323,2013-09-17,236
324,2013-09-18,260
325,2013-09-19,161
326,2013-09-20,133
327,2013-09-21,124
328,2013-09-22,247
329,2013-09-23,170
330,2013-09-24,129
331,2013-09-25,179
332,2013-09-26,146
333,2013-09-27,114
334,2013-09-28,140
335,2013-09-29,166
336,2013-09-30,191
337,2013-10-01,201
338,2013-10-02,212
339,2013-10-03,178
340,2013-10-04,136
341,2013-10-05,140
342,2013-10-06,208
343,2013-10-07,164
344,2013-10-08,144
345,2013-10-09,142
346,2013-10-10,147
347,2013-10-11,176
348,2013-10-12,188
349,2013-10-13,147
350,2013-10-14,147
351,2013-10-15,255
352,2013-10-16,218
353,2013-10-17,152
354,2013-10-18,170
355,2013-10-19,252
356,2013-10-20,223
357,2013-10-21,243
358,2013-10-22,232
359,2013-10-23,338
360,2013-10-24,244
361,2013-10-25,151
362,2013-10-26,257
363,2013-10-27,261
364,2013-10-28,208
365,2013-10-29,169
366,2013-10-30,183
367,2013-10-31,136
368,2013-11-01,114
369,2013-11-02,214
370,2013-11-03,219
371,2013-11-04,178
372,2013-11-05,200
373,2013-11-06,306
374,2013-11-07,206
375,2013-11-08,124
376,2013-11-09,179
377,2013-11-10,225
378,2013-11-11,187
379,2013-11-12,164
380,2013-11-13,254
381,2013-11-14,223
382,2013-11-15,172
383,2013-11-16,127
384,2013-11-17,147
385,2013-11-18,152
386,2013-11-19,353
387,2013-11-20,249
388,2013-11-21,132
389,2013-11-22,117
390,2013-11-23,154
391,2013-11-24,205
392,2013-11-25,201
393,2013-11-26,205
394,2013-11-27,175
395,2013-11-28,122
396,2013-11-29,122
397,2013-11-30,233
398,2013-12-01,265
399,2013-12-02,174
400,2013-12-03,179
401,2013-12-04,268
402,2013-12-05,208
403,2013-12-06,545
404,2013-12-07,342
405,2013-12-08,278
406,2013-12-09,190
407,2013-12-10,237
408,2013-12-11,224
409,2013-12-12,185
410,2013-12-13,128
411,2013-12-14,196
412,2013-12-15,270
413,2013-12-16,272
414,2013-12-17,205
415,2013-12-18,169
416,2013-12-19,154
417,2013-12-20,155
418,2013-12-21,221
419,2013-12-22,205
420,2013-12-23,201
421,2013-12-24,170
422,2013-12-25,435
423,2013-12-26,365
424,2013-12-27,248
425,2013-12-28,199
426,2013-12-29,267
427,2013-12-30,187
428,2013-12-31,161
429,2014-01-01,285
430,2014-01-02,259
431,2014-01-03,233
432,2014-01-04,259
433,2014-01-05,329
434,2014-01-06,257
435,2014-01-07,234
436,2014-01-08,253
437,2014-01-09,219
438,2014-01-10,227
439,2014-01-11,283
440,2014-01-12,309
441,2014-01-13,346
442,2014-01-14,198
443,2014-01-15,196
444,2014-01-16,181
445,2014-01-17,146
446,2014-01-18,222
447,2014-01-19,267
448,2014-01-20,240
449,2014-01-21,222
450,2014-01-22,278
451,2014-01-23,272
452,2014-01-24,192
453,2014-01-25,195
454,2014-01-26,238
455,2014-01-27,205
456,2014-01-28,245
457,2014-01-29,255
458,2014-01-30,246
459,2014-01-31,160
460,2014-02-01,209
461,2014-02-02,182
462,2014-02-03,274
463,2014-02-04,276
464,2014-02-05,256
465,2014-02-06,173
466,2014-02-07,144
467,2014-02-08,277
468,2014-02-09,282
469,2014-02-10,219
470,2014-02-11,236
471,2014-02-12,232
472,2014-02-13,160
473,2014-02-14,203
474,2014-02-15,208
475,2014-02-16,235
476,2014-02-17,217
477,2014-02-18,338
478,2014-02-19,294
479,2014-02-20,425
480,2014-02-21,326
481,2014-02-22,205
